vessel_id,imo_number,vessel_name,vessel_class,dwt,loa_m,beam_m,max_draft_m,service_speed_knots,ballast_speed_knots,laden_speed_knots,fuel_consumption_mt_day,age_years,current_latitude,current_longitude,availability_status,available_from,data_source,source_date
# SYNTHETIC_DEMO: Sample fleet data for development and testing.
VSL_001,9451001,Bay Trader,Handysize,35000,180.0,28.4,10.5,13.0,13.5,12.5,22.0,5,17.5,83.0,AVAILABLE,2026-01-01,SYNTHETIC_DEMO,2026-01-01
VSL_002,9451002,Coastal Star,Handysize,38000,185.0,30.0,11.0,13.5,14.0,12.8,24.0,9,19.0,85.0,AVAILABLE,2026-01-05,SYNTHETIC_DEMO,2026-01-01
VSL_003,9562001,Eastern Harmony,Supramax,55000,199.9,32.2,12.5,13.5,14.0,13.0,28.0,4,18.0,84.0,AVAILABLE,2026-01-01,SYNTHETIC_DEMO,2026-01-01
VSL_004,9562002,Island Bulker,Supramax,58000,199.9,32.2,12.8,13.5,14.0,13.0,29.5,7,12.0,80.5,AVAILABLE,2026-01-10,SYNTHETIC_DEMO,2026-01-01
VSL_005,9673001,Ocean Fortune,Panamax,75000,225.0,32.2,14.2,13.5,14.0,13.0,33.0,6,20.0,86.5,AVAILABLE,2026-01-01,SYNTHETIC_DEMO,2026-01-01
VSL_006,9673002,Pacific Carrier,Panamax,82000,229.0,32.2,14.5,13.5,14.0,13.0,35.0,3,1.2,103.8,AVAILABLE,2026-01-12,SYNTHETIC_DEMO,2026-01-01
VSL_007,9784001,Global Pioneer,Capesize,175000,292.0,45.0,18.2,13.0,13.5,12.5,50.0,8,20.5,87.0,AVAILABLE,2026-01-01,SYNTHETIC_DEMO,2026-01-01
VSL_008,9784002,Iron Titan,Capesize,180000,292.0,45.0,18.5,13.0,13.5,12.5,52.0,5,-20.0,115.0,AVAILABLE,2026-01-15,SYNTHETIC_DEMO,2026-01-01
VSL_009,9895001,Mega Ore,VLOC,250000,325.0,55.0,21.5,12.5,13.0,12.0,65.0,4,-22.0,114.0,AVAILABLE,2026-01-20,SYNTHETIC_DEMO,2026-01-01
