route_id,origin_port,destination_port,distance_nm,typical_duration_days,route_type,seasonal_factor,source
# SYNTHETIC_DEMO: Sample route distances for development and testing.
RT_NEW_VZG,AUS_NEW,IND_VZG,5450.0,17.5,direct,1.0,SYNTHETIC_DEMO
RT_NEW_PAR,AUS_NEW,IND_PAR,5620.0,18.0,direct,1.0,SYNTHETIC_DEMO
RT_NEW_GVM,AUS_NEW,IND_GVM,5440.0,17.4,direct,1.0,SYNTHETIC_DEMO
RT_NEW_DHM,AUS_NEW,IND_DHM,5680.0,18.2,direct,1.05,SYNTHETIC_DEMO
RT_TAB_HLD,IDN_TAB,IND_HLD,2850.0,9.1,direct,1.0,SYNTHETIC_DEMO
RT_TAB_PAR,IDN_TAB,IND_PAR,2720.0,8.7,direct,1.0,SYNTHETIC_DEMO
RT_TAB_DHM,IDN_TAB,IND_DHM,2750.0,8.8,direct,1.0,SYNTHETIC_DEMO
RT_TAB_VZG,IDN_TAB,IND_VZG,2600.0,8.3,direct,1.0,SYNTHETIC_DEMO
RT_BAL_GVM,IDN_BAL,IND_GVM,2650.0,8.5,direct,1.0,SYNTHETIC_DEMO
RT_RIC_VZG,ZAF_RIC,IND_VZG,4650.0,14.9,direct,1.1,SYNTHETIC_DEMO
RT_RIC_PAR,ZAF_RIC,IND_PAR,4820.0,15.4,direct,1.1,SYNTHETIC_DEMO
RT_HAM_PAR,USA_HAM,IND_PAR,9500.0,30.4,via_cape,1.0,SYNTHETIC_DEMO
RT_VOS_PAR,RUS_VOS,IND_PAR,4900.0,15.7,direct,1.05,SYNTHETIC_DEMO
